"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
1,"NORTHERN ARIZONA",92,"Big Sky",0,1,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",6893,35.18,-111.654
2,"IOWA STATE",137,"Big 12",6,8,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",899,42.027,-93.647
3,"OKLAHOMA STATE",186,"Big 12",0,3,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",938,36.127,-97.074
4,"ARKANSAS",195,"SEC",0,4,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",1434,36.069,-94.175
5,"STANFORD",236,"Pac-12",0,5,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",89,37.428,-122.17
6,"TULSA",237,"American",0,6,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",778,36.152,-95.946
7,"BYU",246,"WCC",0,7,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",4665,40.252,-111.649
8,"COLORADO",249,"Pac-12",6,14,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",5345,40.001,-105.266
9,"NOTRE DAME",290,"ACC",-7,2,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",725,41.699,-86.239
10,"WAKE FOREST",356,"ACC",5,15,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",955,36.136,-80.279
11,"WISCONSIN",361,"Big Ten",7,18,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",883,43.077,-89.413
12,"HARVARD",364,"Ivy League",20,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",10,42.377,-71.117
13,"WASHINGTON",373,"Pac-12",12,25,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",95,47.236,-122.55
14,"TEXAS",393,"Big 12",18,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",522,30.285,-97.734
15,"OLE MISS",395,"SEC",-3,12,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",509,34.365,-89.538
16,"PORTLAND",430,"WCC",5,21,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",33,45.573,-122.728
17,"AIR FORCE",453,"Mountain West",2,19,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",6788,38.998,-104.862
18,"NORTH CAROLINA",460,"ACC",14,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",440,35.905,-79.047
19,"SYRACUSE",485,"ACC",11,30,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",551,43.039,-76.135
20,"FLORIDA STATE",517,"ACC",12,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",79,30.442,-84.299
21,"MINNESOTA",518,"Big Ten",11,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",830,44.974,-93.228
22,"GEORGETOWN",566,"Big East",0,22,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",141,38.908,-77.072
23,"PRINCETON",567,"Ivy League",9,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",125,40.343,-74.655
24,"SOUTHERN UTAH",573,"Big Sky",-15,9,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",5807,37.676,-113.072
25,"MICHIGAN",588,"Big Ten",7,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",879,42.278,-83.738
26,"GONZAGA",612,"WCC",1,27,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",1909,47.667,-117.401
27,"ALABAMA",640,"SEC",5,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",222,33.214,-87.539
28,"BUTLER",643,"Big East",-15,13,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",755,39.841,-86.171
29,"OREGON",655,"Pac-12",3,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",446,44.045,-123.073
30,"MICHIGAN STATE",681,"Big Ten",-13,17,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",863,42.702,-84.482
31,"FURMAN",688,"SoCon",-7,24,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",1027,34.926,-82.44
1,"NC STATE",84,"ACC",1,2,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",404,35.785,-78.682
2,"BYU",122,"WCC",-1,1,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",4665,40.252,-111.649
3,"NEW MEXICO",130,"Mountain West",3,6,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",5174,35.084,-106.62
4,"COLORADO",187,"Pac-12",3,7,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",5345,40.001,-105.266
5,"NOTRE DAME",215,"ACC",27,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",725,41.699,-86.239
6,"STANFORD",233,"Pac-12",-3,3,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",89,37.428,-122.17
7,"MINNESOTA",313,"Big Ten",-2,5,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",830,44.974,-93.228
8,"ARKANSAS",328,"SEC",2,10,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",1434,36.069,-94.175
9,"IOWA STATE",332,"Big 12",16,25,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",899,42.027,-93.647
10,"OLE MISS",350,"SEC",2,12,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",509,34.365,-89.538
11,"WASHINGTON",366,"Pac-12",2,13,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",95,47.236,-122.55
12,"WISCONSIN",376,"Big Ten",20,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",883,43.077,-89.413
13,"OKLAHOMA STATE",404,"Big 12",11,24,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",938,36.127,-97.074
14,"NORTH CAROLINA",405,"ACC",0,14,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",440,35.905,-79.047
15,"ALABAMA",428,"SEC",-7,8,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",222,33.214,-87.539
16,"MICHIGAN STATE",438,"Big Ten",-12,4,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",863,42.702,-84.482
17,"COLORADO STATE",455,"Mountain West",6,23,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",5003,40.573,-105.087
18,"GEORGETOWN",464,"Big East",0,18,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",141,38.908,-77.072
19,"FLORIDA STATE",468,"ACC",-4,15,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",79,30.442,-84.299
20,"UTAH",483,"Pac-12",12,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",4783,40.765,-111.842
21,"WEST VIRGINIA",489,"Big 12",8,29,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",912,39.648,-79.97
22,"MICHIGAN",500,"Big Ten",-5,17,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",879,42.278,-83.738
23,"NORTHERN ARIZONA",532,"Big Sky",-12,11,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st",6893,35.18,-111.654
24,"OREGON",534,"Pac-12",8,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",446,44.045,-123.073
25,"HARVARD",541,"Ivy League",7,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",10,42.377,-71.117
26,"PROVIDENCE",594,"Big East",6,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",151,41.844,-71.435
27,"VILLANOVA",605,"Big East",5,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",459,40.037,-75.343
28,"UTAH STATE",638,"Mountain West",4,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",4787,41.745,-111.81
29,"BUTLER",660,"Big East",3,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",755,39.841,-86.171
30,"SYRACUSE",768,"ACC",2,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",551,43.039,-76.135
31,"RICE",811,"Conference USA",1,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st",46,29.717,-95.402
1,"NORTHERN ARIZONA",60,"Big Sky",1,2,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",6893,35.18,-111.654
2,"NOTRE DAME",87,"ACC",7,9,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",725,41.699,-86.239
3,"OKLAHOMA STATE",142,"Big 12",3,6,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",938,36.127,-97.074
4,"ARKANSAS",181,"SEC",-1,3,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",1434,36.069,-94.175
5,"STANFORD",194,"Pac-12",-1,4,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",89,37.428,-122.17
6,"TULSA",237,"American",-1,5,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",778,36.152,-95.946
7,"BYU",254,"WCC",-6,1,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",4665,40.252,-111.649
8,"IOWA STATE",265,"Big 12",-1,7,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",899,42.027,-93.647
9,"SOUTHERN UTAH",270,"Big Sky",17,26,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",5807,37.676,-113.072
10,"IONA",311,"Metro Atlantic",2,12,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",59,40.927,-73.786
11,"UTAH STATE",351,"Mountain West",10,21,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",4787,41.745,-111.81
12,"OLE MISS",373,"SEC",3,15,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",509,34.365,-89.538
13,"BUTLER",379,"Big East",9,22,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",755,39.841,-86.171
14,"COLORADO",398,"Pac-12",-6,8,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",5345,40.001,-105.266
15,"WAKE FOREST",425,"ACC",5,20,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",955,36.136,-80.279
16,"DUKE",462,"ACC",16,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th",394,36.001,-78.938
17,"MICHIGAN STATE",463,"Big Ten",11,28,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",863,42.702,-84.482
18,"WISCONSIN",464,"Big Ten",-7,11,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",883,43.077,-89.413
19,"AIR FORCE",464,"Mountain West",0,19,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",6788,38.998,-104.862
20,"VILLANOVA",468,"Big East",12,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th",459,40.037,-75.343
21,"PORTLAND",472,"WCC",-4,17,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",33,45.573,-122.728
22,"GEORGETOWN",528,"Big East",10,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th",141,38.908,-77.072
23,"NC STATE",547,"ACC",-10,13,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",404,35.785,-78.682
24,"FURMAN",560,"SoCon",8,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th",1027,34.926,-82.44
25,"WASHINGTON",568,"Pac-12",-15,10,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",95,47.236,-122.55
26,"INDIANA",572,"Big Ten",-9,17,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",771,39.178,-86.513
27,"GONZAGA",591,"WCC",-13,14,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",1909,47.667,-117.401
28,"CHARLOTTE",634,"Conference USA",2,30,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",761,35.307,-80.735
29,"PURDUE",741,"Big Ten",-5,24,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",623,40.424,-86.921
30,"SYRACUSE",761,"ACC",-5,25,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th",551,43.039,-76.135
1,"BYU",96,"WCC",1,2,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",4665,40.252,-111.649
2,"NC STATE",161,"ACC",3,5,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",404,35.785,-78.682
3,"STANFORD",207,"Pac-12",1,4,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",89,37.428,-122.17
4,"MICHIGAN STATE",212,"Big Ten",3,7,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",863,42.702,-84.482
5,"MINNESOTA",239,"Big Ten",6,11,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",830,44.974,-93.228
6,"NEW MEXICO",274,"Mountain West",-3,3,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",5174,35.084,-106.62
7,"COLORADO",279,"Pac-12",-1,6,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",5345,40.001,-105.266
8,"ALABAMA",280,"SEC",5,13,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",222,33.214,-87.539
9,"BOISE STATE",304,"Mountain West",1,10,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",2730,43.603,-116.206
10,"ARKANSAS",316,"SEC",-9,1,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",1434,36.069,-94.175
11,"NORTHERN ARIZONA",318,"Big Sky",-2,9,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",6893,35.18,-111.654
12,"OLE MISS",325,"SEC",14,26,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",509,34.365,-89.538
13,"WASHINGTON",330,"Pac-12",-1,12,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",95,47.236,-122.55
14,"NORTH CAROLINA",354,"ACC",18,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th",440,35.905,-79.047
15,"FLORIDA STATE",363,"ACC",3,18,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",79,30.442,-84.299
16,"OREGON STATE",375,"Pac-12",7,23,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",246,44.564,-123.279
17,"MICHIGAN",400,"Big Ten",-9,8,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",879,42.278,-83.738
18,"GEORGETOWN",494,"Big East",3,21,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",141,38.908,-77.072
19,"INDIANA",494,"Big Ten",-2,17,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",771,39.178,-86.513
20,"GEORGIA TECH",508,"ACC",-5,15,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",928,33.776,-84.396
21,"ILLINOIS",521,"Big Ten",-5,16,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",751,40.102,-88.227
22,"PORTLAND",522,"WCC",-2,20,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",33,45.573,-122.728
23,"COLORADO STATE",532,"Mountain West",9,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th",5003,40.573,-105.087
24,"OKLAHOMA STATE",535,"Big 12",-2,22,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",938,36.127,-97.074
25,"IOWA STATE",580,"Big 12",-1,24,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",899,42.027,-93.647
26,"LIBERTY",611,"ASUN",6,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th",925,37.353,-79.177
27,"DUKE",625,"ACC",-8,19,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",394,36.001,-78.938
28,"TULSA",650,"American",4,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th",778,36.152,-95.946
29,"WEST VIRGINIA",668,"Big 12",-2,27,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",912,39.648,-79.97
30,"SAN FRANCISCO",688,"WCC",-3,27,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",335,37.777,-122.451
31,"FURMAN",761,"SoCon",-17,14,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th",1027,34.926,-82.44
1,"BYU",109,"WCC",1,2,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",4665,40.252,-111.649
2,"NORTHERN ARIZONA",163,"Big Sky",-1,1,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",6893,35.18,-111.654
3,"COLORADO",164,"Pac-12",1,4,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",5345,40.001,-105.266
4,"IOWA STATE",211,"Big 12",3,7,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",899,42.027,-93.647
5,"TULSA",243,"American",25,30,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",778,36.152,-95.946
6,"STANFORD",248,"Pac-12",-1,5,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",89,37.428,-122.17
7,"MICHIGAN",250,"Big Ten",12,19,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",879,42.278,-83.738
8,"NOTRE DAME",269,"ACC",6,14,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",725,41.699,-86.239
9,"OREGON",307,"Pac-12",6,15,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",446,44.045,-123.073
10,"PORTLAND",314,"WCC",-7,3,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",33,45.573,-122.728
11,"PURDUE",338,"Big Ten",18,29,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",623,40.424,-86.921
12,"IONA",348,"Metro Atlantic",16,28,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",59,40.927,-73.786
13,"INDIANA",367,"Big Ten",5,18,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",771,39.178,-86.513
14,"FURMAN",379,"SoCon",18,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",1027,34.926,-82.44
15,"HARVARD",384,"Ivy League",17,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",10,42.377,-71.117
16,"UTAH STATE",428,"Mountain West",16,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",4787,41.745,-111.81
17,"VIRGINIA TECH",451,"ACC",15,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",2064,37.228,-80.423
18,"WISCONSIN",462,"Big Ten",-10,8,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",883,43.077,-89.413
19,"WASHINGTON",466,"Pac-12",-13,6,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",95,47.236,-122.55
20,"VIRGINIA",468,"ACC",12,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",568,38.034,-78.508
21,"BOISE STATE",525,"Mountain West",-11,10,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",2730,43.603,-116.206
22,"OLE MISS",535,"SEC",-5,17,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",509,34.365,-89.538
23,"VILLANOVA",556,"Big East",0,23,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",459,40.037,-75.343
24,"ALABAMA",582,"SEC",8,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",222,33.214,-87.539
25,"TEXAS",588,"Big 12",2,27,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",522,30.285,-97.734
26,"NC STATE",605,"ACC",-15,11,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",404,35.785,-78.682
27,"SYRACUSE",610,"ACC",-1,26,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",551,43.039,-76.135
28,"GEORGETOWN",676,"Big East",4,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",141,38.908,-77.072
29,"FLORIDA STATE",694,"ACC",2,31,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",79,30.442,-84.299
30,"ARKANSAS",728,"SEC",-5,25,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd",1434,36.069,-94.175
31,"MIDDLE TENNESSEE",865,"Conference USA",1,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd",627,35.849,-86.365
1,"ARKANSAS",96,"SEC",13,14,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",1434,36.069,-94.175
2,"BYU",102,"WCC",5,7,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",4665,40.252,-111.649
3,"STANFORD",123,"Pac-12",2,5,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",89,37.428,-122.17
4,"NEW MEXICO",168,"Mountain West",-2,2,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",5174,35.084,-106.62
5,"NC STATE",190,"ACC",8,13,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",404,35.785,-78.682
6,"MICHIGAN STATE",209,"Big Ten",5,11,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",863,42.702,-84.482
7,"WISCONSIN",235,"Big Ten",3,10,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",883,43.077,-89.413
8,"AIR FORCE",259,"Mountain West",24,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",6788,38.998,-104.862
9,"FURMAN",290,"SoCon",14,23,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",1027,34.926,-82.44
10,"COLORADO",294,"Pac-12",-9,1,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",5345,40.001,-105.266
11,"WASHINGTON",296,"Pac-12",-2,9,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",95,47.236,-122.55
12,"FLORIDA STATE",308,"ACC",14,26,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",79,30.442,-84.299
13,"MICHIGAN",395,"Big Ten",-9,4,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",879,42.278,-83.738
14,"NORTHERN ARIZONA",406,"Big Sky",18,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",6893,35.18,-111.654
15,"NOTRE DAME",415,"ACC",-7,8,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",725,41.699,-86.239
16,"UTAH",471,"Pac-12",16,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",4783,40.765,-111.842
17,"BOISE STATE",474,"Mountain West",-11,6,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",2730,43.603,-116.206
