"Team","Conference","Average.Rank","Average.Previous.Rank","Average.Change","elevation","lat","long"
"AIR FORCE","Mountain West",18.2,23.4,5.2,6788,38.998,-104.862
"ALABAMA","SEC",21.6666666666667,32,10.3333333333333,222,33.214,-87.539
"ARKANSAS","SEC",12.9,13,0.1,1434,36.069,-94.175
"BOISE STATE","Mountain West",17,19.2,2.2,2730,43.603,-116.206
"BRADLEY","Missouri Valley",24,32,8,183,40.6978,-89.615
"BUTLER","Big East",20.5,17.5,-3,755,39.841,-86.171
"BYU","WCC",6.6,7.3,0.7,4665,40.252,-111.649
"BYU","West Coast",3,7,4,4665,40.252,-111.649
"CAL POLY","Big West",28,32,4,312,35.305,-120.663
"CALIFORNIA","Pac-12",27,27.5,0.5,305,37.872,-122.259
"CHARLOTTE","Conference USA",28,30,2,761,35.307,-80.735
"COLORADO","Pac-12",4.81818181818182,5.90909090909091,1.09090909090909,5345,40.001,-105.266
"COLORADO STATE","Mountain West",16,23.2,7.2,5003,40.573,-105.087
"COLUMBIA","Ivy League",23,25.3333333333333,2.33333333333333,138,40.808,-73.963
"DARTMOUTH","Ivy League",24.5,32,7.5,541,43.7044,-72.289
"DUKE","ACC",23,32,9,394,36.001,-78.938
"EASTERN KENTUCKY","OVC",20.1666666666667,25.3333333333333,5.16666666666667,1004,37.735,-84.299
"FLORIDA","SEC",29.5,32,2.5,102,29.644,-82.355
"FLORIDA STATE","ACC",22.4285714285714,24.5714285714286,2.14285714285714,79,30.442,-84.299
"FURMAN","SoCon",23,30.3333333333333,7.33333333333333,1027,34.926,-82.44
"GEORGETOWN","Big East",20,24.1666666666667,4.16666666666667,141,38.908,-77.072
"GEORGETOWN","Big East (1st Ed.)",21,23,2,141,38.908,-77.072
"GEORGIA","SEC",26.3333333333333,26.6666666666667,0.333333333333333,728,33.948,-83.377
"GONZAGA","WCC",26.5,20.5,-6,1909,47.667,-117.401
"HARVARD","Ivy League",19,32,13,10,42.377,-71.117
"ILLINOIS","Big Ten",23,32,9,751,40.102,-88.227
"INDIANA","Big Ten",15,15.2857142857143,0.285714285714286,771,39.178,-86.513
"IONA","Metro Atlantic",12.9,12.7,-0.2,59,40.927,-73.786
"IOWA STATE","Big 12",7.33333333333333,12.8333333333333,5.5,899,42.027,-93.647
"LOUISVILLE","ACC",7,32,25,546,38.212,-85.759
"MICHIGAN","Big Ten",16.1111111111111,22.2222222222222,6.11111111111111,879,42.278,-83.738
"MICHIGAN STATE","Big Ten",24.5714285714286,25.4285714285714,0.857142857142857,863,42.702,-84.482
"MIDDLE TENNESSEE","Conference USA",27.3333333333333,30.6666666666667,3.33333333333333,627,35.849,-86.365
"MINNESOTA","Big Ten",18.6666666666667,30.3333333333333,11.6666666666667,830,44.974,-93.228
"NAVY","Patriot",28.5,29,0.5,3,38.982,-76.484
"NC STATE","ACC",21.2222222222222,19.8888888888889,-1.33333333333333,404,35.785,-78.682
"NEW MEXICO","Mountain West",19.25,19.75,0.5,5174,35.084,-106.62
"NORTH CAROLINA","ACC",15.6666666666667,27,11.3333333333333,440,35.905,-79.047
"NORTHERN ARIZONA","Big Sky",3.1,6.7,3.6,6893,35.18,-111.654
"NOTRE DAME","ACC",11.2,17,5.8,725,41.699,-86.239
"NOTRE DAME","Big East (1st Ed.)",26,24.5,-1.5,725,41.699,-86.239
"OHIO STATE","Big Ten",23,32,9,741,40.001,-83.031
"OKLAHOMA","Big 12",9.66666666666667,14.3333333333333,4.66666666666667,1165,35.206,-97.446
"OKLAHOMA STATE","Big 12",9.3,8.4,-0.9,938,36.127,-97.074
"OLE MISS","SEC",18.375,19.625,1.25,509,34.365,-89.538
"OREGON","Pac-12",11.4444444444444,14.3333333333333,2.88888888888889,446,44.045,-123.073
"PENN","Ivy League",24,32,8,62,39.952,-75.193
"PORTLAND","WCC",10.3333333333333,12.7777777777778,2.44444444444444,33,45.573,-122.728
"PORTLAND","West Coast",2,13,11,33,45.573,-122.728
"PRINCETON","Ivy League",20.8333333333333,22.3333333333333,1.5,125,40.343,-74.655
"PROVIDENCE","Big East",17.6666666666667,26.6666666666667,9,151,41.844,-71.435
"PROVIDENCE","Big East (1st Ed.)",22,22,0,151,41.844,-71.435
"PURDUE","Big Ten",23,28.3333333333333,5.33333333333333,623,40.424,-86.921
"SOUTHERN UTAH","Big Sky",19.2857142857143,21.1428571428571,1.85714285714286,5807,37.676,-113.072
"STANFORD","Pac-12",6.54545454545455,6.27272727272727,-0.272727272727273,89,37.428,-122.17
"SYRACUSE","ACC",14.8888888888889,14.2222222222222,-0.666666666666667,551,43.039,-76.135
"SYRACUSE","Big East (1st Ed.)",15,14.5,-0.5,551,43.039,-76.135
"TEXAS","Big 12",21.7,23.6,1.9,522,30.285,-97.734
"TEXAS A&M","Big 12",18,32,14,341,30.618,-96.337
"TULSA","American",14.7142857142857,20.7142857142857,6,778,36.152,-95.946
"TULSA","Conference USA",19.6666666666667,21.3333333333333,1.66666666666667,778,36.152,-95.946
"UCLA","Pac-12",16.2,22.2,6,377,34.069,-118.445
"UTAH STATE","Mountain West",18,28.3333333333333,10.3333333333333,4787,41.745,-111.81
"UTEP","Conference USA",22.3333333333333,23.3333333333333,1,3720,31.773,-106.505
"VILLANOVA","Big East",18.2,26.4,8.2,459,40.037,-75.343
"VILLANOVA","Big East (1st Ed.)",20,18,-2,459,40.037,-75.343
"VIRGINIA","ACC",17.7142857142857,21.7142857142857,4,568,38.034,-78.508
"VIRGINIA TECH","ACC",21.5,32,10.5,2064,37.228,-80.423
"WAKE FOREST","ACC",12.5,17.5,5,955,36.136,-80.279
"WASHINGTON","Pac-12",16.1428571428571,21,4.85714285714286,95,47.236,-122.55
"WASHINGTON STATE","Pac-12",21.25,26,4.75,2598,46.732,-117.154
"WISCONSIN","Big Ten",9.44444444444444,12.8888888888889,3.44444444444444,883,43.077,-89.413
"WYOMING","Mountain West",12,32,20,7234,41.315,-105.567
